Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
340,Yes,Yes,India,"Yes, full-time",Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer,3-5 years,3-5 years,Moderately dissatisfied,Slightly satisfied,Working as a product manager or project manager,I am actively looking for a job,Between 2 and 4 years ago,7,6,10,2,5,1,9,3,8,4,1,4,5,6,2,9,10,11,7,3,8,1,2,5,4,3,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,Indian rupees (・E・Eｹ),120000,Yearly,1879,INR,"Google Hangouts/Chat;Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,NA,NA,NA,NA,Agree,Disagree,Strongly disagree,JavaScript;PHP;Python,JavaScript;Python;TypeScript,SQL Server,MongoDB,AWS,Google Cloud Platform/App Engine;Firebase,Django;Node.js;React;Cordova,NA,PyCharm;Sublime Text,Windows,1,Agile;Kanban,Git;Mercurial,Multiple times per day,I'm not sure/I don't know,NA,NA,Somewhat agree,Strongly agree,Neither agree nor disagree,Stopped going to a website because of their advertising,1,2,3,6,4,5,7,Increasing automation of jobs,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,8,Multiple times per day,Yes,A few times per week,Yes,Yes,5,Yes,A little bit interested,Somewhat interested,Somewhat interested,A little bit interested,Very interested,Between 9:01 - 10:00 AM,9 - 12 hours,NA,1 - 2 times per week,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",South Asian,25 - 34 years old,Yes,NA,The survey was too long,Neither easy nor difficult
342,No,Yes,United Kingdom,"Yes, full-time",Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,9-11 years,6-8 years,Slightly satisfied,Slightly satisfied,Doing the same work,"I・E・Em not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,Yes,No,United States,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Database administrator;Designer;DevOps specialist;Front-end developer;Full-stack developer,15-17 years,12-14 years,Moderately satisfied,Moderately satisfied,Doing the same work,"I・E・Em not actively looking, but I am open to new opportunities",Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C#;JavaScript;PHP;TypeScript;HTML;CSS,NA,"SQL Server;MySQL;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,AWS;Azure,NA,Angular;.NET Core;Node.js,NA,Sublime Text;Visual Studio;Visual Studio Code,Windows,1,Agile;Kanban,Git,Multiple times per day,Yes,No,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,2,1,5,4,6,7,3,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,Yes,Yes,Germany,NA,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,12-14 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,More than 4 years ago,7,1,4,3,8,6,5,2,10,9,2,5,10,11,8,7,6,3,9,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I had a negative experience or interaction at work,Euros (・E・Eｬ),65000,Yearly,79552,EUR,"Confluence;Jira;Slack;Trello;Other chat system (IRC, proprietary software, etc.)",One to three months,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology・E・Es online help system",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly disagree,C#;Groovy;Java;JavaScript;Ruby;TypeScript;HTML;CSS;Bash/Shell,C#;Go;Groovy;Java;JavaScript;Ruby;TypeScript;Kotlin;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;Oracle;Memcached;Elasticsearch,"MongoDB;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Elasticsearch",Android;AWS;Azure;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server,Android;AWS;Azure;Google Cloud Platform/App Engine;Linux;Mac OS;Windows Desktop or Server,Angular;.NET Core;Node.js;React;Spring,Angular;.NET Core;Node.js;React;Spring;TensorFlow,Atom;IntelliJ;Vim;Visual Studio,MacOS,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka ・E・Ewaterfall・E・E methodologies);Kanban;Pair programming;Scrum,Git,Multiple times per day,Yes,No,NA,Somewhat agree,Neither agree nor disagree,Strongly agree,Stopped going to a website because of their advertising,2,4,1,5,3,6,7,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,9,Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,I'm not sure,A little bit interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,18 - 24 years old,No,NA,The survey was an appropriate length,Somewhat easy
345,Yes,No,France,"Yes, full-time",Employed part-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Student,6-8 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C;C++;C#;Java;JavaScript;PHP;Python;Ruby;SQL;VBA;Kotlin;HTML;CSS;Bash/Shell,NA,MongoDB;SQL Server;MySQL,NA,Linux;Windows Desktop or Server,NA,.NET Core;Django;Node.js;Torch/PyTorch,NA,Atom;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,2,Agile,Git,Multiple times per day,Yes,Yes,The website I was visiting has interesting ads,Strongly agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Paid to access a website advertisement-free,1,5,3,2,4,7,6,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, and publicly",Upper management at the company/organization,Yes,8,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I have one but it's out of date",6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,No,No,India,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",QA or test developer,15-17 years,12-14 years,Moderately satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Between 2 and 4 years ago,7,10,1,8,4,2,3,5,6,9,1,2,4,8,6,5,7,11,3,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,NA,3000000,Yearly,46963,INR,"Confluence;Jira;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology・E・Es online help system",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;Because I find it enjoyable",Strongly agree,Strongly agree,Strongly disagree,Java;Python;SQL;Bash/Shell,NA,SQL Server;Oracle,NA,Android;Linux;Mac OS,NA,NA,NA,Android Studio;IntelliJ;Komodo;Notepad++,MacOS,1,Agile;Scrum,Git,Multiple times per day,Yes,No,NA,Somewhat agree,Somewhat agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),1,3,4,2,6,5,7,Algorithms making important decisions,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The person who came up with the idea,Yes,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,Standing desk;Ergonomic keyboard or mouse,3 - 4 times per week,Female,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,Yes,NA,The survey was too long,Somewhat easy
348,Yes,No,Poland,No,Employed full-time,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer,3-5 years,0-2 years,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Doing the same work,"I・E・Em not actively looking, but I am open to new opportunities",Less than a year ago,9,4,7,2,8,3,6,1,5,10,2,9,1,10,7,8,3,6,11,5,4,3,1,5,2,4,7,6,5,1,2,4,3,A recruiter contacted me,Polish zﾅ・Eoty (zﾅ・E),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,Yes,Yes,India,"Yes, full-time",Employed full-time,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Database administrator;Designer;System administrator,15-17 years,6-8 years,Neither satisfied nor dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,More than 4 years ago,9,7,2,4,1,5,6,3,10,8,1,2,3,7,4,5,6,10,8,9,11,2,1,5,3,4,1,5,6,4,3,2,7,I had a negative experience or interaction at work,Indian rupees (・E・Eｹ),520000,Yearly,8140,INR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To help me find new job opportunities;Because I find it enjoyable",Agree,Agree,Strongly disagree,C;C++;C#;Java;JavaScript;SQL;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,C++;C#;R;SQL;Bash/Shell,"SQL Server;MySQL;PostgreSQL;SQLite;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQL Server;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",SharePoint;Windows Desktop or Server,SharePoint;Windows Desktop or Server,.NET Core,Angular;.NET Core;Node.js,Notepad++;Visual Studio,Windows,1,Agile;Scrum,Team Foundation Version Control,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it;The website I was visiting has interesting ads,Neither agree nor disagree,Somewhat disagree,Strongly agree,Stopped going to a website because of their advertising,1,3,4,2,5,7,6,Increasing automation of jobs,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),A few times per month or weekly,Yes,Less than once per month or monthly,Yes,Yes,10 (Very Likely),Yes,Very interested,Somewhat interested,Somewhat interested,Extremely interested,Extremely interested,Between 7:01 - 8:00 AM,Over 12 hours,Less than 30 minutes,Never,Standing desk,3 - 4 times per week,Male,Straight or heterosexual,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)",South Asian,25 - 34 years old,No,NA,The survey was too long,Neither easy nor difficult
351,Yes,Yes,India,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,9-11 years,0-2 years,Slightly satisfied,Slightly satisfied,Working as an engineering manager or other functional manager,I am actively looking for a job,Between 1 and 2 years ago,9,7,6,8,3,2,4,1,10,5,1,4,2,7,6,5,3,10,11,9,8,1,2,5,4,3,NA,NA,NA,NA,NA,NA,NA,I did not receive an expected change in compensation,Indian rupees (・E・Eｹ),NA,NA,NA,NA,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)",Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O・E・EReilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To help me find new job opportunities;Because I find it enjoyable",Strongly agree,Neither Agree nor Disagree,Disagree,C++;Groovy;Java;Scala,C++;Go;Java,SQL Server;MySQL;PostgreSQL;IBM Db2;Memcached;Elasticsearch,Cassandra;MongoDB;Memcached;Elasticsearch,Android;Windows Desktop or Server;Windows Phone,Android;AWS;Google Cloud Platform/App Engine;Raspberry Pi;Windows Desktop or Server,.NET Core;React;Spring,Hadoop;Spark;TensorFlow,Android Studio;Atom;IntelliJ;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Windows,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka ・E・Ewaterfall・E・E methodologies);Kanban;Lean;Scrum,Git;Subversion,Multiple times per day,I'm not sure/I don't know,NA,NA,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Stopped going to a website because of their advertising,NA,NA,NA,NA,NA,NA,NA,Algorithms making important decisions,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,NA,NA,NA,8,Daily or almost daily,Yes,A few times per month or weekly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,Yes,A little bit interested,Extremely interested,Somewhat interested,Extremely interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,3 - 4 hours,Never,NA,Daily or almost every day,Male,Straight or heterosexual,"Master・E・Es degree (MA, MS, M.Eng., MBA, etc.)",South Asian,18 - 24 years old,No,NA,The survey was too long,Somewhat easy
352,Yes,Yes,United States,"Yes, full-time",Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Data or business analyst;Database administrator;Designer;Front-end developer;Full-stack developer,15-17 years,9-11 years,Slightly dissatisfied,Slightly satisfied,Working as a founder or co-founder of my own company,"I・E・Em not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,8,4,5,2,1,3,7,9,10,6,1,7,2,3,10,6,8,4,9,11,5,3,2,4,5,1,5,6,3,2,1,7,4,My job status or other personal status changed,U.S. dollars ($),81000,Yearly,81000,USD,"Facebook;Google Hangouts/Chat;Jira;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Nine months to a year,"Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Strongly agree,Neither Agree nor Disagree,Neither Agree nor Disagree,C#;Go;JavaScript;Objective-C;PHP;Python;R;Ruby;Scala;TypeScript;HTML;CSS;Bash/Shell,C++;TypeScript,Redis;PostgreSQL;Oracle,NA,Amazon Echo;Arduino;AWS;ESP8266;Heroku;Linux;Serverless,NA,Angular;.NET Core;Node.js;TensorFlow,NA,Atom;Visual Studio;Visual Studio Code,MacOS,2,Agile,Git,Multiple times per day,Yes,No,NA,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,NA,7,1,6,4,5,3,2,Increasing automation of jobs,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,I'm not sure / I can't remember,NA,Yes,NA,8,I'm not sure,Very interested,Very interested,Very interested,Very interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,Yes,No,The survey was an appropriate length,Very easy
354,Yes,Yes,Greece,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Designer;Embedded applications or devices developer,9-11 years,9-11 years,Slightly satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Between 2 and 4 years ago,8,7,1,4,9,3,2,10,5,6,7,9,4,10,2,8,6,3,11,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A recruiter contacted me,Euros (・E・Eｬ),30000,Monthly,440592,EUR,Confluence;Jira,Nine months to a year,Received on-the-job training in software development;Participated in a hackathon;Contributed to open source software,NA,NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Neither Agree nor Disagree,Disagree,Disagree,Assembly;C;C++;Matlab;Python;Bash/Shell,Julia,NA,NA,Linux,Linux;Mac OS,NA,NA,Eclipse;Notepad++,Linux-based,2,Agile;Extreme programming (XP);Scrum,Git;Team Foundation Version Control,A few times per week,Yes,No,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,Increasing automation of jobs,Algorithms making important decisions,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,9,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, and I don't know what that is",7,No,Not at all interested,Not at all interested,Not at all interested,Somewhat interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,3 - 4 hours,Never,Standing desk,Daily or almost every day,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,35 - 44 years old,Yes,NA,The survey was an appropriate length,Neither easy nor difficult
355,Yes,No,India,No,Employed full-time,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I・E・Em not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,Yes,Yes,Colombia,"Yes, full-time",Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Student,6-8 years,3-5 years,Moderately satisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I・E・Em not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,3,6,8,1,4,5,10,2,9,7,1,10,3,9,6,11,7,2,8,5,4,3,1,2,5,4,6,2,4,3,1,7,5,My job status or other personal status changed,NA,4800000,Monthly,20244,COP,"Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague",NA,NA,Agree,Agree,Disagree,C#;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell,C;F#;Haskell;R;Scala,Redis;MySQL;PostgreSQL;MariaDB;Amazon Redshift;Amazon RDS/Aurora;Elasticsearch,Cassandra;Amazon DynamoDB,AWS;Linux;Mac OS;Salesforce,Arduino;Raspberry Pi,Angular;Node.js,NA,Vim,Linux-based,2,Agile;Evidence-based software engineering;Extreme programming (XP);Formal standard such as ISO 9001 or IEEE 12207 (aka ・E・Ewaterfall・E・E methodologies);Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website,Strongly disagree,Neither agree nor disagree,Strongly agree,Stopped going to a website because of their advertising,2,1,3,5,7,6,4,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Evolving definitions of ""fairness"" in algorithmic versus human decisions",Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,NA,Yes,8,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,NA,Yes,Very interested,Somewhat interested,Very interested,A little bit interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,3 - 4 hours,Never,Ergonomic keyboard or mouse,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor・E・Es degree (BA, BS, B.Eng., etc.)",Hispanic or Latino/Latina,25 - 34 years old,No,NA,The survey was an appropriate length,Neither easy nor difficult
